                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7506,                 2.9253,                 2.9553,                0.10568,                0.11063,                  0.081,                0.02797,                 2.5329,                 11.642,                 3.0879,               0.067029,             0.00033304,             0.00033304
                      2,                  1.969,                 1.9967,                 2.2765,                0.57981,                0.45122,                0.38624,                0.15816,                 2.3229,                  2.211,                 2.7706,               0.034022,             0.00065978,             0.00065978
                      3,                 1.7835,                 1.7401,                  2.091,                0.60764,                0.55226,                 0.4491,                 0.1894,                 2.1738,                 2.1319,                 2.6665,              0.0010091,             0.00097991,             0.00097991
                      4,                 1.6851,                 1.5774,                 1.9633,                0.59227,                0.55488,                0.44293,                0.20094,                 2.1341,                 2.0872,                 2.6269,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.6179,                 1.4758,                 1.9178,                0.61676,                0.55401,                0.44325,                0.19773,                  2.137,                 2.0894,                 2.6139,              0.0009703,              0.0009703,              0.0009703
                      6,                   1.59,                  1.433,                 1.8787,                0.58665,                0.59465,                0.46419,                 0.2066,                 2.1623,                 1.9397,                 2.6368,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.5529,                 1.3674,                 1.8396,                0.61011,                0.59756,                0.45231,                0.20243,                 2.1553,                  1.865,                 2.6129,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.5336,                 1.3328,                 1.8177,                 0.5994,                0.59146,                0.46032,                0.20795,                 2.1164,                 1.8952,                 2.5698,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.4969,                  1.292,                 1.7971,                0.61542,                0.60356,                0.48953,                0.22304,                 2.1226,                 1.8747,                 2.6035,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.4798,                 1.2696,                 1.7879,                0.59218,                0.58101,                0.44567,                0.19995,                 2.2291,                 1.8388,                 2.7522,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.4729,                 1.2363,                 1.7741,                 0.6338,                0.60192,                0.48675,                0.22139,                  2.122,                 1.8397,                 2.6414,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.4541,                 1.2304,                 1.7613,                0.61477,                0.62369,                0.47585,                0.21619,                 2.0842,                    1.8,                 2.5661,               0.000901,               0.000901,               0.000901
                     13,                 1.4408,                  1.208,                 1.7471,                0.63095,                 0.6176,                0.50158,                0.22857,                 2.1071,                 1.8009,                 2.5499,              0.0008911,              0.0008911,              0.0008911
                     14,                  1.436,                 1.1784,                 1.7435,                0.62882,                0.60505,                0.49446,                0.23378,                 2.0866,                 1.7569,                 2.5625,              0.0008812,              0.0008812,              0.0008812
                     15,                  1.418,                 1.1685,                 1.7344,                0.59975,                0.63176,                0.47708,                0.21507,                  2.089,                 1.7647,                 2.5986,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.4075,                 1.1506,                 1.7157,                0.64442,                0.61411,                0.50509,                 0.2317,                 2.1198,                 1.7575,                 2.6741,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.4121,                 1.1518,                 1.7182,                0.63729,                 0.6176,                0.49749,                0.23579,                 2.0833,                 1.7406,                 2.5716,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.4038,                 1.1348,                 1.7158,                0.64094,                0.62369,                0.49273,                0.23234,                 2.0707,                 1.7368,                 2.5595,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.3815,                 1.1076,                 1.6926,                0.63056,                0.63676,                0.50215,                0.24032,                 2.0562,                 1.6657,                  2.567,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.3728,                 1.1059,                 1.6955,                 0.6596,                0.63676,                0.53835,                0.25065,                  2.015,                 1.7183,                 2.4897,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.3663,                 1.1038,                 1.6874,                 0.6467,                0.62892,                0.50789,                0.24077,                 2.0617,                 1.7271,                 2.5953,              0.0008119,              0.0008119,              0.0008119
                     22,                  1.366,                 1.0951,                 1.6881,                 0.6427,                0.63772,                0.51535,                0.24505,                 2.0555,                 1.6746,                 2.5692,               0.000802,               0.000802,               0.000802
                     23,                 1.3477,                 1.0723,                 1.6706,                0.61765,                0.64199,                0.50299,                0.23907,                  2.082,                 1.7594,                 2.6121,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.3476,                 1.0832,                 1.6743,                0.66597,                0.64606,                0.52769,                0.24861,                 2.0398,                 1.6809,                 2.5875,              0.0007822,              0.0007822,              0.0007822
                     25,                  1.342,                 1.0386,                 1.6644,                0.64285,                0.64111,                0.51928,                0.24777,                 2.0457,                 1.6931,                 2.5527,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.3331,                 1.0542,                 1.6635,                0.63755,                0.62456,                0.51104,                0.23966,                 2.0556,                 1.6911,                  2.573,              0.0007624,              0.0007624,              0.0007624
                     27,                 1.3181,                 1.0355,                 1.6568,                0.65467,                0.64634,                0.53175,                0.24916,                 2.0682,                 1.6827,                 2.5947,              0.0007525,              0.0007525,              0.0007525
                     28,                 1.3256,                  1.032,                  1.662,                0.64809,                0.64286,                0.50911,                0.24375,                 2.0417,                 1.6877,                 2.5743,              0.0007426,              0.0007426,              0.0007426
