                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1633,                 3.1072,                 2.3868,                0.19444,                0.17422,                 0.1051,                0.03562,                 2.8102,                 2.9315,                 2.3426,               0.067007,             0.00033326,             0.00033326
                      2,                 2.5054,                 2.5777,                 2.0192,                0.34634,                0.29617,                0.25493,                0.09996,                 2.4981,                 2.8239,                 2.1645,               0.034001,             0.00065999,             0.00065999
                      3,                 2.1972,                 2.1518,                 1.8472,                0.47496,                0.43641,                0.34377,                0.14966,                 2.2963,                 2.0877,                 2.0592,             0.00098741,             0.00098013,             0.00098013
                      4,                 2.0349,                 1.9545,                 1.7497,                0.47787,                0.45681,                  0.376,                0.16389,                 2.2017,                 2.0176,                  2.004,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.9235,                 1.7965,                 1.6795,                0.59569,                0.47125,                0.43215,                0.19503,                 2.1426,                 1.9876,                 1.9452,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.8619,                 1.6849,                 1.6378,                0.55818,                0.53571,                0.43957,                0.19343,                 2.1611,                 1.8725,                 1.9809,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.8022,                 1.6177,                 1.5963,                0.58905,                0.52352,                0.44319,                0.18757,                  2.158,                 2.0857,                 1.9769,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.7748,                 1.5785,                 1.5843,                0.57963,                0.53136,                0.42427,                0.18659,                 2.1324,                 1.8961,                 1.9735,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.7588,                 1.5344,                 1.5749,                0.63378,                0.55627,                 0.4835,                0.21115,                 2.1182,                 1.6766,                 1.9472,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.7267,                 1.5051,                 1.5605,                0.63053,                0.57578,                0.49605,                 0.2221,                 2.0832,                 1.6779,                 1.9626,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.6888,                 1.4524,                 1.5399,                0.65873,                0.58362,                0.51978,                0.23665,                 2.0795,                 1.6696,                 1.9034,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.6887,                 1.4254,                 1.5227,                0.62034,                0.58972,                0.49954,                0.21929,                 2.1236,                 1.6871,                 1.9711,               0.000901,               0.000901,               0.000901
                     13,                 1.6653,                 1.4008,                 1.5204,                0.64014,                0.62291,                0.53399,                0.23415,                 2.0829,                 1.6549,                 1.9612,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.6588,                  1.388,                 1.5129,                0.58552,                0.59756,                0.45555,                 0.1981,                 2.0876,                 1.8627,                 1.9521,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.6462,                 1.3703,                 1.5013,                0.66899,                0.60976,                 0.5156,                0.22959,                   2.09,                 1.6317,                 1.9714,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.6167,                 1.3463,                 1.4964,                0.62423,                0.61237,                 0.5096,                 0.2246,                 2.0773,                 1.6906,                 1.9459,              0.0008614,              0.0008614,              0.0008614
