                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0378,                 3.3072,                 2.8777,                 0.3269,                0.24671,                0.19978,                0.07401,                 2.6911,                 2.8603,                 2.8607,               0.067007,             0.00033326,             0.00033326
                      2,                 2.2741,                  2.476,                 2.3654,                0.45922,                0.42669,                0.35386,                0.13791,                 2.2666,                 2.5401,                 2.5683,               0.034001,             0.00065999,             0.00065999
                      3,                 1.9991,                 2.0774,                 2.1579,                0.55747,                0.54083,                0.45468,                0.17685,                 2.2122,                 2.0707,                 2.5517,             0.00098742,             0.00098013,             0.00098013
                      4,                 1.8688,                 1.8691,                 2.0388,                0.45737,                0.56453,                0.36232,                0.14104,                 2.1551,                 2.4497,                  2.546,              0.0009703,              0.0009703,              0.0009703
                      5,                  1.787,                 1.7403,                  1.976,                0.56957,                0.57331,                0.47807,                0.19611,                 2.0927,                 1.9611,                 2.5251,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.7328,                 1.6497,                 1.9245,                0.63138,                0.59701,                0.51434,                0.21322,                 2.1032,                 1.7461,                 2.5487,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.6955,                 1.6029,                  1.892,                0.65395,                0.61457,                0.56751,                0.23956,                 2.0888,                  1.595,                 2.5293,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.6532,                  1.557,                 1.8612,                0.61019,                0.61194,                0.52968,                0.21606,                 2.0778,                 1.8056,                 2.5527,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.6278,                 1.4997,                 1.8365,                0.69656,                 0.6532,                0.59208,                0.24903,                 2.0564,                 1.5982,                 2.5884,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.6183,                 1.4732,                 1.8329,                 0.6998,                0.63916,                0.58652,                0.25294,                  2.057,                 1.5537,                 2.5204,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.5942,                 1.4434,                 1.8115,                0.66257,                0.65847,                0.57052,                0.24241,                 2.0564,                 1.5953,                 2.5789,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.5824,                 1.4385,                 1.8074,                0.67616,                0.66462,                0.60802,                0.26456,                 2.0416,                 1.5442,                 2.5538,               0.000901,               0.000901,               0.000901
                     13,                 1.5625,                 1.3879,                 1.7896,                0.68577,                0.64186,                0.59313,                0.26101,                 2.0301,                 1.5422,                  2.521,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.5492,                 1.3698,                 1.7812,                0.67976,                0.65787,                0.61317,                0.27277,                 1.9979,                 1.4721,                 2.4557,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.5521,                 1.3721,                 1.7806,                0.69213,                0.67515,                0.61312,                0.27358,                 1.9972,                 1.4849,                 2.4701,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.5383,                 1.3516,                 1.7836,                0.69967,                0.66882,                0.62447,                0.27406,                 2.0075,                 1.4646,                 2.4551,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.5317,                 1.3403,                 1.7739,                0.69105,                0.68144,                0.62574,                 0.2787,                 2.0013,                 1.4497,                 2.4311,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.5363,                 1.3382,                 1.7634,                0.65456,                0.67378,                0.60249,                0.25735,                 2.0489,                 1.5418,                 2.6376,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.5082,                 1.3084,                 1.7487,                0.69089,                0.69886,                0.60929,                0.26602,                 1.9972,                  1.494,                 2.5698,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.5027,                 1.2883,                  1.738,                0.67394,                0.68593,                0.61642,                0.27176,                 1.9865,                 1.4687,                 2.4264,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.4916,                 1.2934,                 1.7381,                0.69487,                0.66579,                0.61501,                 0.2763,                 2.0075,                 1.4942,                 2.5336,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.4795,                 1.2665,                 1.7181,                0.71681,                0.67954,                0.63343,                0.27918,                 1.9968,                 1.4355,                 2.4976,               0.000802,               0.000802,               0.000802
                     23,                 1.4851,                 1.2668,                 1.7254,                0.70989,                0.68042,                 0.6312,                0.28334,                 1.9884,                 1.4424,                 2.4534,              0.0007921,              0.0007921,              0.0007921
                     24,                  1.478,                 1.2467,                 1.7189,                0.71824,                0.69379,                0.61871,                0.27711,                 1.9847,                 1.4384,                  2.521,              0.0007822,              0.0007822,              0.0007822
                     25,                  1.461,                 1.2366,                 1.7089,                0.72746,                0.68196,                0.64063,                0.29096,                 1.9888,                 1.4473,                 2.4564,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.4643,                 1.2329,                 1.7106,                0.70301,                0.69622,                0.63966,                0.30016,                 1.9554,                 1.3946,                 2.4202,              0.0007624,              0.0007624,              0.0007624
                     27,                 1.4521,                 1.2155,                 1.6979,                0.72288,                0.69271,                0.63565,                0.29332,                 1.9758,                 1.3953,                 2.4474,              0.0007525,              0.0007525,              0.0007525
                     28,                 1.4473,                 1.2125,                 1.6987,                0.69536,                0.68137,                0.63287,                0.28516,                 1.9993,                 1.3968,                 2.5113,              0.0007426,              0.0007426,              0.0007426
                     29,                  1.446,                 1.1977,                 1.6975,                0.70771,                0.69535,                0.64445,                0.29574,                  1.981,                 1.3632,                 2.4861,              0.0007327,              0.0007327,              0.0007327
                     30,                 1.4395,                  1.208,                 1.6893,                0.71101,                0.70634,                0.65526,                0.29915,                 1.9656,                 1.3587,                  2.444,              0.0007228,              0.0007228,              0.0007228
                     31,                 1.4479,                 1.2072,                 1.6845,                0.73014,                0.69125,                0.65949,                0.30006,                 1.9777,                 1.3542,                 2.5054,              0.0007129,              0.0007129,              0.0007129
                     32,                 1.4217,                 1.1825,                 1.6849,                0.71252,                0.68763,                0.64106,                0.29256,                  1.972,                 1.3869,                 2.4968,               0.000703,               0.000703,               0.000703
                     33,                  1.425,                 1.1815,                 1.6843,                0.72714,                0.70657,                0.65482,                0.29246,                 1.9827,                 1.3609,                 2.4916,              0.0006931,              0.0006931,              0.0006931
                     34,                 1.4266,                 1.1698,                 1.6703,                0.72463,                0.70237,                0.64542,                0.29402,                  1.976,                 1.3609,                 2.4648,              0.0006832,              0.0006832,              0.0006832
                     35,                  1.408,                 1.1575,                 1.6622,                0.71838,                0.72695,                0.66528,                0.29898,                 1.9721,                 1.3595,                 2.5177,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.4182,                 1.1688,                 1.6724,                0.71933,                0.71291,                0.64558,                0.29882,                 1.9513,                 1.3258,                 2.4138,              0.0006634,              0.0006634,              0.0006634
