                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.448,                 3.7365,                 2.7227,                 0.2358,                0.09885,                0.07669,                  0.031,                 2.2319,                 3.0016,                 2.6195,               0.067005,             0.00033329,             0.00033329
                      2,                 1.9405,                 3.0732,                 2.2677,                 0.4724,                0.16194,                0.12418,                0.05734,                 1.9293,                 2.6464,                 2.3791,               0.033998,             0.00066002,             0.00066002
                      3,                  1.805,                  2.847,                   2.15,                0.33446,                0.22291,                0.17207,                0.08282,                 1.8549,                 2.4133,                 2.2988,             0.00098478,             0.00098015,             0.00098015
                      4,                 1.7313,                 2.6908,                  2.082,                0.33465,                 0.2742,                0.18969,                0.09173,                 1.7979,                 2.3549,                 2.2403,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.6768,                 2.5663,                 2.0339,                0.40489,                0.29581,                0.24072,                0.11861,                 1.7781,                 2.1923,                 2.2185,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.6339,                 2.4686,                 1.9992,                0.38642,                0.33608,                0.27113,                0.13651,                 1.7443,                 2.1166,                  2.203,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.6145,                 2.4089,                 1.9701,                0.54404,                0.29418,                0.28682,                0.14265,                 1.7363,                 2.0368,                 2.1886,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.5878,                  2.354,                 1.9557,                0.49777,                0.36191,                0.32388,                0.16477,                 1.7221,                 1.9554,                 2.1871,              0.0009406,              0.0009406,              0.0009406
                      9,                  1.575,                 2.3146,                 1.9451,                0.48864,                0.34566,                 0.3277,                0.17106,                 1.7007,                 1.9294,                 2.1586,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.5486,                 2.2813,                 1.9245,                0.49937,                 0.3662,                0.33636,                0.17412,                 1.6707,                 1.8798,                 2.1393,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.5357,                 2.2464,                 1.9085,                 0.5079,                0.40448,                0.36263,                0.19037,                 1.6732,                 1.8259,                 2.1299,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.5294,                 2.2182,                 1.9047,                0.52378,                0.39649,                0.37567,                0.19741,                 1.6745,                 1.8295,                 2.1415,               0.000901,               0.000901,               0.000901
                     13,                 1.5218,                 2.1858,                 1.9019,                  0.561,                0.39586,                0.38521,                0.20097,                 1.6509,                 1.7927,                 2.1178,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.5071,                 2.1667,                 1.8926,                0.56136,                0.42122,                0.40227,                0.21281,                 1.6436,                 1.7624,                 2.1107,              0.0008812,              0.0008812,              0.0008812
                     15,                  1.502,                 2.1632,                 1.8849,                0.56341,                0.41754,                0.40371,                  0.214,                 1.6362,                 1.7485,                 2.1094,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.4849,                 2.1224,                  1.871,                0.57884,                0.41334,                0.42272,                 0.2227,                 1.6303,                 1.7292,                 2.1047,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.4817,                 2.1026,                 1.8672,                0.60857,                0.42249,                0.42153,                0.22395,                 1.6253,                 1.7091,                 2.1025,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.4705,                 2.0679,                 1.8614,                0.60321,                0.41909,                0.43244,                0.23214,                 1.6235,                 1.6936,                 2.1022,              0.0008416,              0.0008416,              0.0008416
