                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0061,                 3.2729,                 2.9809,                0.27448,                0.25871,                0.16217,                0.05359,                 2.5856,                 2.9698,                   2.92,               0.067007,             0.00033326,             0.00033326
                      2,                 2.2412,                 2.4401,                 2.4116,                0.48206,                0.42683,                0.34255,                 0.1359,                 2.3126,                 2.3299,                 2.6947,               0.034001,             0.00065999,             0.00065999
                      3,                 2.0065,                 2.0844,                 2.1978,                0.59317,                0.53484,                0.48292,                0.18544,                 2.2422,                 1.9792,                 2.6197,             0.00098741,             0.00098013,             0.00098013
                      4,                 1.8939,                 1.8762,                 2.0855,                0.54705,                0.56882,                0.42558,                0.17324,                 2.1428,                 2.2134,                 2.5451,              0.0009703,              0.0009703,              0.0009703
                      5,                  1.798,                 1.7592,                 2.0138,                 0.6122,                0.57666,                0.50774,                0.21177,                 2.1414,                 1.7855,                 2.5381,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.7503,                 1.6804,                  1.977,                0.66332,                0.60105,                0.54585,                0.23363,                 2.1056,                 1.7527,                 2.5429,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.6887,                 1.5981,                 1.9234,                0.60808,                0.61498,                0.53137,                 0.2237,                 2.0964,                 1.6798,                 2.5231,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.6548,                 1.5358,                 1.8955,                 0.6425,                0.64344,                0.53565,                0.22606,                 2.0632,                 1.7653,                 2.5295,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.6526,                 1.5403,                 1.8771,                0.68611,                0.62195,                0.56841,                0.24517,                 2.0801,                 1.5929,                  2.576,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.6182,                 1.4847,                 1.8702,                0.60983,                0.64808,                0.51917,                0.22923,                 2.0453,                 1.6861,                 2.5294,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.5881,                 1.4424,                 1.8428,                0.68751,                0.65767,                0.59118,                0.25869,                  2.046,                 1.5488,                 2.5495,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.5911,                 1.4402,                 1.8309,                0.69406,                0.66399,                0.59451,                0.26421,                 2.0364,                 1.5119,                 2.5304,               0.000901,               0.000901,               0.000901
                     13,                  1.576,                 1.4058,                 1.8253,                0.71056,                0.64199,                0.61347,                0.26083,                 2.0387,                 1.5889,                 2.5597,              0.0008911,              0.0008911,              0.0008911
                     14,                  1.554,                 1.3763,                 1.7998,                0.68397,                0.66376,                0.58015,                0.26121,                 2.0252,                 1.5937,                 2.4869,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.5377,                 1.3615,                 1.7806,                0.69071,                0.67857,                0.58613,                0.25377,                 2.0333,                 1.6467,                 2.5784,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.5348,                 1.3665,                 1.7893,                0.70718,                 0.6858,                0.62534,                0.27893,                 2.0085,                 1.4108,                 2.4815,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.5205,                 1.3442,                 1.7833,                0.71336,                0.66812,                0.60483,                0.26766,                 2.0283,                 1.5312,                 2.5319,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.5057,                 1.3173,                 1.7608,                 0.7026,                0.67295,                0.62427,                 0.2835,                 2.0046,                 1.4479,                  2.483,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.5108,                 1.3013,                 1.7731,                0.68688,                0.68902,                0.62143,                0.27736,                  1.998,                 1.4878,                 2.4661,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.4957,                  1.302,                  1.753,                0.72241,                0.68467,                0.62579,                0.28642,                 1.9901,                 1.4673,                 2.5111,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.4862,                 1.2938,                 1.7517,                0.70453,                0.66986,                 0.6302,                0.28439,                 2.0135,                 1.4556,                 2.4674,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.4972,                 1.2814,                 1.7494,                0.71039,                0.67073,                0.62983,                0.29043,                 1.9944,                 1.4638,                  2.474,               0.000802,               0.000802,               0.000802
                     23,                 1.4868,                 1.2633,                 1.7388,                0.69535,                0.68793,                0.63516,                0.28679,                 2.0178,                 1.4508,                 2.5162,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.4664,                 1.2503,                 1.7258,                0.70858,                0.67683,                0.64435,                0.28354,                 2.0091,                 1.4234,                 2.5077,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.4574,                 1.2306,                 1.7241,                0.68455,                0.70383,                0.63226,                0.28444,                 2.0015,                  1.428,                 2.4997,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.4415,                 1.2327,                 1.7128,                0.70298,                0.70383,                0.66003,                0.29929,                 1.9863,                 1.3841,                 2.4854,              0.0007624,              0.0007624,              0.0007624
                     27,                 1.4577,                 1.2335,                 1.7208,                0.72868,                0.68313,                 0.6468,                0.28847,                 2.0071,                 1.4139,                  2.557,              0.0007525,              0.0007525,              0.0007525
                     28,                 1.4409,                 1.2129,                 1.7062,                0.71914,                0.68696,                0.64932,                 0.2966,                 1.9698,                 1.3932,                 2.4486,              0.0007426,              0.0007426,              0.0007426
                     29,                 1.4475,                 1.2092,                 1.7057,                0.70578,                0.71047,                0.62821,                0.28566,                 1.9884,                 1.4099,                 2.4889,              0.0007327,              0.0007327,              0.0007327
                     30,                 1.4433,                 1.2182,                 1.7094,                0.73977,                0.70383,                0.63363,                0.28958,                 1.9632,                  1.424,                 2.4488,              0.0007228,              0.0007228,              0.0007228
                     31,                 1.4319,                 1.1929,                 1.6994,                 0.7415,                0.69425,                0.65166,                0.30308,                 1.9675,                 1.3713,                 2.4309,              0.0007129,              0.0007129,              0.0007129
                     32,                 1.4137,                 1.1743,                 1.6899,                0.72183,                 0.7047,                 0.6429,                 0.2922,                 1.9945,                 1.4025,                 2.5227,               0.000703,               0.000703,               0.000703
                     33,                 1.4192,                 1.1786,                 1.6903,                0.72382,                0.69338,                0.63941,                0.29749,                 1.9462,                 1.4044,                 2.4204,              0.0006931,              0.0006931,              0.0006931
                     34,                 1.4227,                 1.1941,                 1.6903,                0.73988,                 0.6987,                0.65558,                0.30179,                 1.9542,                  1.407,                 2.4246,              0.0006832,              0.0006832,              0.0006832
                     35,                 1.4145,                  1.161,                 1.6878,                0.72822,                0.70022,                0.64975,                0.30113,                 1.9751,                 1.3792,                  2.432,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.4002,                 1.1465,                 1.6704,                0.73822,                0.71864,                0.67097,                0.30665,                 1.9647,                 1.3635,                 2.4598,              0.0006634,              0.0006634,              0.0006634
                     37,                 1.3869,                 1.1499,                 1.6635,                0.73618,                0.70975,                0.65693,                0.30572,                  1.957,                 1.3525,                  2.437,              0.0006535,              0.0006535,              0.0006535
                     38,                 1.4103,                 1.1575,                 1.6822,                0.72155,                0.71329,                0.66635,                0.30511,                 1.9771,                 1.3304,                 2.4693,              0.0006436,              0.0006436,              0.0006436
                     39,                 1.4057,                 1.1567,                 1.6772,                0.72799,                0.70732,                0.65968,                0.30812,                 1.9716,                 1.3511,                 2.4646,              0.0006337,              0.0006337,              0.0006337
                     40,                 1.3834,                 1.1228,                  1.653,                0.74923,                0.70557,                0.65547,                0.30614,                 1.9738,                 1.3608,                 2.4481,              0.0006238,              0.0006238,              0.0006238
                     41,                  1.383,                 1.1208,                 1.6593,                0.73816,                 0.7047,                 0.6518,                 0.3026,                 1.9701,                 1.3507,                   2.46,              0.0006139,              0.0006139,              0.0006139
                     42,                 1.3854,                 1.1274,                 1.6627,                0.74575,                0.70645,                0.65729,                0.30599,                 1.9666,                 1.3432,                 2.4673,               0.000604,               0.000604,               0.000604
                     43,                  1.388,                  1.135,                 1.6657,                0.74626,                 0.7045,                0.66827,                0.30537,                 1.9734,                 1.3537,                 2.4548,              0.0005941,              0.0005941,              0.0005941
                     44,                 1.3622,                 1.1164,                 1.6406,                0.74582,                0.69522,                 0.6623,                 0.3074,                  1.965,                  1.349,                 2.4533,              0.0005842,              0.0005842,              0.0005842
