                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3592,                  1.605,                  1.724,                0.61362,                0.55352,                  0.534,                0.29911,                 1.6815,                 1.5552,                 2.1515,              0.0006832,              0.0006832,              0.0006832
                     35,                 1.3482,                  1.602,                 1.7225,                0.60279,                0.56111,                0.53514,                0.29977,                  1.679,                 1.5496,                 2.1504,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.3459,                 1.5841,                 1.7147,                0.60214,                0.56155,                0.53967,                0.30226,                 1.6765,                 1.5429,                 2.1497,              0.0006634,              0.0006634,              0.0006634
                     37,                 1.3436,                 1.5831,                 1.7142,                0.60488,                0.56311,                0.53955,                0.30251,                 1.6735,                 1.5393,                  2.145,              0.0006535,              0.0006535,              0.0006535
                     38,                 1.3308,                 1.5535,                 1.7037,                0.60799,                0.56373,                0.53885,                0.30278,                 1.6714,                 1.5362,                 2.1418,              0.0006436,              0.0006436,              0.0006436
                     39,                  1.332,                 1.5496,                 1.6977,                0.60594,                0.56361,                0.53852,                0.30379,                 1.6719,                  1.535,                 2.1432,              0.0006337,              0.0006337,              0.0006337
                     40,                 1.3202,                   1.55,                 1.6949,                 0.6132,                0.56084,                0.54199,                0.30524,                 1.6701,                 1.5303,                 2.1407,              0.0006238,              0.0006238,              0.0006238
                     41,                 1.3148,                 1.5441,                 1.6862,                0.61529,                0.56296,                 0.5411,                0.30551,                 1.6683,                  1.528,                 2.1385,              0.0006139,              0.0006139,              0.0006139
                     42,                   1.32,                 1.5356,                 1.6916,                0.61557,                0.56451,                0.54232,                0.30543,                 1.6675,                 1.5258,                 2.1386,               0.000604,               0.000604,               0.000604
                     43,                 1.3139,                 1.5258,                 1.6871,                0.61594,                 0.5674,                0.54329,                0.30637,                  1.667,                 1.5244,                 2.1377,              0.0005941,              0.0005941,              0.0005941
