                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9652,                 3.7877,                 2.3964,                0.49738,                0.02899,                0.03154,                0.01213,                 2.7599,                 3.4119,                 2.3495,               0.067003,             0.00033331,             0.00033331
                      2,                 2.3706,                 3.2961,                 2.0533,                0.11579,                0.14222,                0.06859,                0.03054,                 2.4357,                 3.0789,                 2.1678,               0.033996,             0.00066004,             0.00066004
                      3,                 2.1518,                 2.9755,                 1.9227,                0.21706,                0.20242,                0.12618,                0.05788,                 2.2321,                 2.8214,                 2.0713,             0.00098297,             0.00098017,             0.00098017
                      4,                 2.0185,                 2.7614,                  1.844,                0.23515,                0.22394,                0.15433,                0.07139,                  2.146,                 2.5909,                  2.014,              0.0009703,              0.0009703,              0.0009703
                      5,                  1.947,                 2.6362,                 1.8009,                 0.2581,                0.23591,                0.16772,                0.07999,                  2.086,                 2.6351,                 1.9796,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.9039,                 2.5483,                 1.7724,                0.35349,                0.25065,                0.21306,                0.09889,                 2.0661,                 2.4979,                 1.9789,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.8591,                  2.466,                 1.7411,                 0.3405,                0.26169,                0.20621,                0.09853,                 2.0255,                 2.4774,                 1.9622,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.8322,                  2.418,                 1.7295,                0.38066,                0.27153,                0.24049,                 0.1174,                 1.9944,                 2.3744,                 1.9211,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.8174,                  2.377,                 1.7138,                0.41069,                0.30011,                0.27011,                0.13118,                 1.9885,                 2.2696,                 1.9096,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.7977,                 2.3596,                 1.7024,                0.40341,                0.32159,                0.26997,                0.13224,                 1.9626,                 2.2594,                 1.9341,              0.0009208,              0.0009208,              0.0009208
                     11,                  1.771,                 2.2953,                 1.6918,                0.42604,                0.33268,                0.28866,                0.14432,                 1.9548,                  2.185,                 1.9206,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.7548,                 2.2569,                 1.6797,                0.44865,                0.30599,                  0.289,                0.14543,                 1.9384,                 2.1793,                 1.9095,               0.000901,               0.000901,               0.000901
                     13,                 1.7485,                 2.2339,                 1.6646,                 0.4268,                0.33882,                0.28801,                0.14449,                 1.9103,                 2.1461,                  1.888,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.7288,                 2.2081,                 1.6662,                  0.445,                0.34133,                0.29762,                0.15099,                 1.9144,                 2.1254,                 1.8976,              0.0008812,              0.0008812,              0.0008812
                     15,                  1.718,                 2.1972,                 1.6522,                0.44791,                0.35158,                0.31779,                0.16187,                 1.9048,                 2.0842,                 1.8906,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.7064,                 2.1729,                 1.6466,                0.43562,                0.36658,                0.32085,                0.16214,                 1.9061,                 2.1053,                 1.8958,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.6984,                 2.1622,                 1.6452,                0.44581,                 0.3702,                 0.3199,                0.16255,                 1.8969,                 2.0839,                 1.8798,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.6963,                 2.1459,                 1.6392,                0.46532,                 0.3778,                0.33049,                 0.1715,                 1.8868,                 2.0407,                 1.8767,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.6844,                 2.1349,                 1.6339,                0.48233,                0.38828,                0.34194,                0.17606,                 1.8742,                 2.0348,                 1.8793,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.6655,                 2.0993,                 1.6211,                0.45203,                0.38632,                 0.3269,                0.17126,                 1.8619,                 2.0265,                 1.8587,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.6679,                 2.1054,                 1.6194,                0.48703,                 0.3797,                0.33828,                0.17816,                 1.8513,                 2.0108,                 1.8597,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.6646,                  2.091,                 1.6153,                0.49966,                0.38141,                0.35524,                0.18575,                 1.8532,                 1.9827,                  1.857,               0.000802,               0.000802,               0.000802
                     23,                 1.6523,                 2.0673,                 1.6119,                 0.5175,                0.38346,                 0.3537,                0.18482,                 1.8569,                 1.9736,                 1.8647,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.6484,                 2.0692,                 1.6138,                0.50554,                0.39072,                0.35546,                0.18801,                 1.8483,                 1.9829,                 1.8584,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.6414,                 2.0471,                 1.6079,                0.52312,                0.38711,                0.35716,                0.19178,                 1.8357,                 1.9715,                 1.8505,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.6474,                 2.0469,                 1.6041,                0.54067,                0.37486,                 0.3577,                0.19115,                 1.8378,                  1.953,                 1.8508,              0.0007624,              0.0007624,              0.0007624
                     27,                 1.6277,                 2.0313,                    1.6,                0.51011,                0.39227,                 0.3645,                0.19385,                 1.8371,                  1.954,                 1.8506,              0.0007525,              0.0007525,              0.0007525
                     28,                 1.6274,                 2.0312,                 1.6012,                0.49292,                0.40895,                0.37033,                0.19711,                 1.8308,                 1.9407,                 1.8445,              0.0007426,              0.0007426,              0.0007426
                     29,                 1.6235,                 2.0176,                 1.5959,                0.50839,                 0.4083,                0.37387,                0.19949,                 1.8278,                 1.9347,                 1.8388,              0.0007327,              0.0007327,              0.0007327
                     30,                 1.6102,                 2.0028,                 1.5906,                0.50922,                0.41319,                0.37417,                0.19908,                 1.8234,                 1.9271,                 1.8325,              0.0007228,              0.0007228,              0.0007228
                     31,                 1.6032,                 1.9858,                 1.5898,                0.51695,                 0.4088,                0.37796,                0.20115,                 1.8185,                 1.9182,                 1.8303,              0.0007129,              0.0007129,              0.0007129
                     32,                 1.5977,                 1.9772,                 1.5759,                   0.51,                0.41597,                0.38017,                0.20232,                 1.8184,                 1.9098,                 1.8316,               0.000703,               0.000703,               0.000703
                     33,                 1.5975,                 1.9782,                 1.5798,                0.50378,                0.41608,                0.37771,                0.20228,                 1.8155,                 1.9056,                 1.8331,              0.0006931,              0.0006931,              0.0006931
                     34,                 1.5977,                 1.9726,                 1.5824,                0.50887,                0.41913,                0.37909,                0.20499,                 1.8137,                 1.8978,                 1.8334,              0.0006832,              0.0006832,              0.0006832
                     35,                 1.5933,                 1.9677,                  1.582,                0.51143,                 0.4249,                0.38116,                0.20538,                 1.8143,                 1.8938,                 1.8334,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.5857,                 1.9592,                 1.5724,                0.51562,                0.42544,                0.38328,                0.20685,                 1.8139,                  1.887,                 1.8322,              0.0006634,              0.0006634,              0.0006634
                     37,                 1.5896,                 1.9486,                   1.57,                0.52094,                0.42757,                0.38566,                0.20889,                 1.8142,                  1.882,                 1.8325,              0.0006535,              0.0006535,              0.0006535
                     38,                 1.5751,                 1.9323,                 1.5713,                0.52254,                0.43063,                0.38722,                0.20934,                 1.8134,                  1.875,                 1.8332,              0.0006436,              0.0006436,              0.0006436
                     39,                 1.5766,                 1.9419,                 1.5681,                0.52795,                0.42342,                0.38961,                0.21017,                 1.8123,                 1.8693,                 1.8326,              0.0006337,              0.0006337,              0.0006337
                     40,                 1.5733,                 1.9389,                 1.5614,                0.52862,                0.42428,                0.39034,                0.21009,                 1.8106,                 1.8659,                 1.8306,              0.0006238,              0.0006238,              0.0006238
                     41,                 1.5766,                 1.9269,                 1.5587,                0.52829,                0.42543,                0.39106,                0.21031,                 1.8104,                 1.8639,                 1.8296,              0.0006139,              0.0006139,              0.0006139
                     42,                 1.5608,                 1.9145,                 1.5513,                0.52272,                0.43295,                0.39209,                0.21108,                 1.8091,                 1.8623,                 1.8278,               0.000604,               0.000604,               0.000604
                     43,                 1.5659,                 1.9089,                 1.5547,                0.51981,                0.43875,                0.39469,                 0.2124,                 1.8084,                 1.8599,                 1.8278,              0.0005941,              0.0005941,              0.0005941
                     44,                 1.5552,                 1.9009,                 1.5464,                0.52377,                0.43963,                 0.3956,                0.21336,                 1.8077,                 1.8579,                 1.8278,              0.0005842,              0.0005842,              0.0005842
                     45,                 1.5499,                 1.8931,                 1.5499,                0.52566,                 0.4386,                0.39751,                0.21479,                 1.8065,                 1.8546,                 1.8282,              0.0005743,              0.0005743,              0.0005743
                     46,                 1.5481,                 1.8843,                 1.5435,                0.52776,                0.43865,                0.40105,                0.21679,                 1.8065,                 1.8515,                 1.8284,              0.0005644,              0.0005644,              0.0005644
                     47,                 1.5388,                 1.8641,                 1.5358,                 0.5281,                0.43879,                0.40205,                0.21742,                  1.805,                 1.8485,                  1.827,              0.0005545,              0.0005545,              0.0005545
                     48,                 1.5448,                 1.8784,                 1.5417,                0.53345,                 0.4371,                0.40416,                0.21895,                 1.8038,                 1.8461,                 1.8258,              0.0005446,              0.0005446,              0.0005446
                     49,                 1.5416,                 1.8747,                 1.5448,                0.53843,                0.43411,                 0.4047,                0.21937,                 1.8032,                 1.8423,                 1.8244,              0.0005347,              0.0005347,              0.0005347
                     50,                 1.5335,                  1.872,                 1.5325,                0.54089,                0.43438,                0.40593,                0.22027,                 1.8032,                 1.8383,                 1.8246,              0.0005248,              0.0005248,              0.0005248
                     51,                  1.527,                 1.8468,                 1.5323,                0.54058,                0.43463,                0.40679,                0.22077,                 1.8028,                 1.8361,                 1.8238,              0.0005149,              0.0005149,              0.0005149
                     52,                  1.529,                 1.8566,                 1.5304,                0.53743,                0.44154,                0.40808,                0.22125,                 1.8018,                 1.8339,                 1.8233,               0.000505,               0.000505,               0.000505
                     53,                 1.5301,                 1.8522,                 1.5311,                0.53613,                0.44283,                0.40853,                0.22167,                 1.8009,                 1.8307,                 1.8226,              0.0004951,              0.0004951,              0.0004951
                     54,                  1.527,                 1.8512,                 1.5269,                0.53443,                0.44438,                0.40955,                0.22232,                 1.8004,                 1.8279,                 1.8222,              0.0004852,              0.0004852,              0.0004852
                     55,                 1.5233,                 1.8388,                 1.5279,                0.53945,                0.44381,                0.41048,                0.22303,                 1.8009,                 1.8247,                 1.8224,              0.0004753,              0.0004753,              0.0004753
                     56,                 1.5212,                 1.8449,                 1.5312,                0.54124,                0.44381,                0.41096,                0.22372,                 1.8005,                 1.8218,                 1.8221,              0.0004654,              0.0004654,              0.0004654
                     57,                 1.5143,                 1.8254,                 1.5191,                 0.5451,                0.44227,                0.41151,                0.22446,                 1.8003,                 1.8185,                  1.822,              0.0004555,              0.0004555,              0.0004555
                     58,                 1.5076,                 1.8333,                 1.5222,                0.54888,                0.44241,                0.41305,                0.22503,                 1.7997,                 1.8165,                 1.8216,              0.0004456,              0.0004456,              0.0004456
                     59,                 1.5121,                 1.8249,                 1.5219,                0.54616,                 0.4453,                0.41325,                0.22523,                 1.7999,                  1.813,                 1.8216,              0.0004357,              0.0004357,              0.0004357
                     60,                  1.506,                  1.815,                 1.5168,                0.54758,                0.44408,                0.41457,                0.22593,                 1.7987,                 1.8106,                 1.8207,              0.0004258,              0.0004258,              0.0004258
                     61,                 1.5044,                  1.806,                 1.5142,                0.54885,                0.44482,                0.41585,                0.22673,                 1.7983,                 1.8069,                 1.8203,              0.0004159,              0.0004159,              0.0004159
                     62,                 1.5028,                 1.8083,                 1.5143,                0.55195,                0.44466,                0.41649,                0.22721,                 1.7974,                  1.804,                 1.8194,               0.000406,               0.000406,               0.000406
                     63,                 1.4883,                 1.7823,                 1.5044,                0.55266,                0.44437,                0.41766,                0.22772,                 1.7963,                 1.8016,                  1.818,              0.0003961,              0.0003961,              0.0003961
                     64,                 1.4877,                 1.7944,                 1.4989,                0.55268,                0.44237,                0.41814,                0.22823,                 1.7957,                 1.7983,                 1.8175,              0.0003862,              0.0003862,              0.0003862
                     65,                 1.4938,                 1.7931,                 1.5056,                0.55597,                0.44033,                0.41994,                0.22923,                 1.7947,                 1.7954,                 1.8168,              0.0003763,              0.0003763,              0.0003763
                     66,                 1.4827,                 1.7795,                 1.5002,                0.56018,                0.44162,                  0.421,                0.22998,                 1.7941,                 1.7921,                 1.8161,              0.0003664,              0.0003664,              0.0003664
                     67,                 1.4816,                  1.778,                 1.4993,                0.55926,                 0.4422,                 0.4214,                0.23105,                 1.7933,                  1.788,                 1.8156,              0.0003565,              0.0003565,              0.0003565
                     68,                 1.4774,                 1.7647,                 1.4976,                0.56016,                 0.4402,                0.42151,                0.23127,                  1.793,                 1.7857,                 1.8157,              0.0003466,              0.0003466,              0.0003466
                     69,                 1.4781,                 1.7737,                 1.4979,                0.56261,                0.44077,                0.42304,                 0.2316,                 1.7926,                 1.7833,                 1.8157,              0.0003367,              0.0003367,              0.0003367
                     70,                 1.4809,                 1.7607,                 1.4946,                0.56834,                 0.4396,                0.42357,                0.23241,                 1.7921,                 1.7803,                 1.8154,              0.0003268,              0.0003268,              0.0003268
                     71,                 1.4741,                 1.7552,                 1.4934,                0.57094,                0.43949,                0.42459,                0.23303,                 1.7918,                 1.7773,                 1.8152,              0.0003169,              0.0003169,              0.0003169
                     72,                 1.4729,                 1.7545,                 1.4855,                0.57194,                0.43909,                0.42674,                0.23392,                 1.7909,                 1.7737,                 1.8149,               0.000307,               0.000307,               0.000307
                     73,                 1.4625,                   1.75,                 1.4861,                0.57372,                0.44041,                0.42848,                 0.2349,                 1.7902,                 1.7705,                 1.8147,              0.0002971,              0.0002971,              0.0002971
                     74,                 1.4612,                 1.7534,                 1.4872,                0.57456,                0.44023,                0.43014,                0.23566,                 1.7894,                 1.7674,                 1.8141,              0.0002872,              0.0002872,              0.0002872
                     75,                 1.4546,                 1.7379,                 1.4826,                 0.5804,                0.44079,                0.43044,                0.23642,                 1.7886,                 1.7654,                  1.813,              0.0002773,              0.0002773,              0.0002773
                     76,                 1.4536,                 1.7309,                 1.4738,                0.58178,                0.44006,                0.43201,                0.23691,                 1.7878,                 1.7616,                 1.8129,              0.0002674,              0.0002674,              0.0002674
                     77,                 1.4587,                 1.7311,                 1.4841,                0.58475,                0.43854,                0.43388,                0.23818,                 1.7874,                 1.7587,                  1.813,              0.0002575,              0.0002575,              0.0002575
                     78,                 1.4495,                 1.7169,                 1.4802,                0.58342,                0.43934,                 0.4351,                0.23885,                 1.7869,                 1.7561,                 1.8127,              0.0002476,              0.0002476,              0.0002476
                     79,                 1.4483,                 1.7214,                 1.4705,                0.58829,                0.43972,                0.43568,                0.23929,                 1.7868,                 1.7528,                 1.8132,              0.0002377,              0.0002377,              0.0002377
                     80,                 1.4466,                 1.7072,                 1.4746,                0.58787,                0.44145,                0.43685,                0.23991,                 1.7867,                 1.7513,                 1.8126,              0.0002278,              0.0002278,              0.0002278
                     81,                  1.444,                 1.7058,                 1.4686,                0.59118,                0.43914,                0.43747,                0.24049,                 1.7864,                  1.749,                 1.8123,              0.0002179,              0.0002179,              0.0002179
                     82,                 1.4395,                 1.7013,                 1.4727,                0.59634,                0.43871,                 0.4394,                0.24126,                 1.7857,                 1.7465,                 1.8116,               0.000208,               0.000208,               0.000208
                     83,                 1.4398,                 1.7075,                 1.4698,                0.59674,                0.44046,                0.44069,                0.24275,                 1.7845,                  1.743,                 1.8105,              0.0001981,              0.0001981,              0.0001981
                     84,                 1.4304,                 1.6861,                 1.4642,                0.59699,                0.44187,                0.44157,                0.24285,                 1.7838,                 1.7405,                 1.8101,              0.0001882,              0.0001882,              0.0001882
                     85,                 1.4297,                 1.6825,                 1.4602,                0.60041,                0.44097,                0.44257,                 0.2436,                 1.7832,                 1.7381,                 1.8096,              0.0001783,              0.0001783,              0.0001783
                     86,                 1.4215,                 1.6709,                 1.4555,                0.60069,                0.44094,                 0.4421,                0.24414,                 1.7822,                 1.7346,                 1.8091,              0.0001684,              0.0001684,              0.0001684
                     87,                 1.4252,                 1.6932,                  1.457,                0.60712,                0.43775,                0.44324,                0.24407,                 1.7811,                 1.7322,                 1.8087,              0.0001585,              0.0001585,              0.0001585
                     88,                 1.4258,                 1.6721,                 1.4566,                0.60963,                0.44034,                0.44532,                0.24584,                   1.78,                 1.7297,                 1.8077,              0.0001486,              0.0001486,              0.0001486
                     89,                 1.4245,                 1.6774,                 1.4576,                0.61101,                0.44297,                0.44577,                0.24645,                 1.7793,                 1.7265,                  1.807,              0.0001387,              0.0001387,              0.0001387
