                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7361,                 2.9202,                  2.874,                0.40098,                0.35203,                0.27097,                0.10407,                 2.3105,                 2.5517,                 2.7426,               0.067014,             0.00033319,             0.00033319
                      2,                 1.9754,                 2.0455,                 2.2844,                0.57096,                0.54522,                0.45148,                0.16891,                 2.2542,                 2.0328,                 2.7462,               0.034008,             0.00065992,             0.00065992
                      3,                 1.8094,                 1.7549,                  2.126,                0.62288,                0.60324,                0.54553,                0.23019,                 2.1016,                  1.706,                 2.5994,             0.00099464,             0.00098006,             0.00098006
                      4,                 1.7202,                 1.6091,                 2.0094,                0.66594,                0.57231,                0.55641,                0.24539,                 2.0242,                 1.7004,                 2.5155,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.6674,                 1.5275,                 1.9565,                0.61363,                0.62329,                   0.54,                0.22636,                 2.0597,                 1.6533,                 2.5515,              0.0009703,              0.0009703,              0.0009703
                      6,                  1.622,                 1.4482,                 1.9199,                0.66737,                0.62248,                0.57753,                 0.2598,                  2.026,                 1.5849,                 2.5018,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.5934,                 1.4124,                 1.8928,                 0.6367,                 0.6247,                0.57671,                 0.2516,                 2.0643,                 1.5396,                 2.5673,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.5616,                 1.3829,                 1.8716,                 0.6668,                0.67292,                0.60122,                0.26902,                 2.0042,                 1.5175,                 2.5475,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.5483,                 1.3406,                 1.8465,                0.69463,                0.68102,                0.62925,                0.28183,                 1.9655,                 1.4113,                 2.4375,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.5148,                 1.3078,                 1.8316,                0.68112,                0.71817,                0.61568,                0.27512,                 1.9929,                 1.3887,                 2.5233,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.5081,                 1.2884,                 1.8292,                0.67794,                0.68657,                0.59739,                0.28112,                 1.9589,                 1.4037,                 2.4562,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.4908,                 1.2578,                 1.8079,                0.69625,                0.68218,                0.62524,                0.28848,                  1.998,                 1.3902,                 2.5112,               0.000901,               0.000901,               0.000901
                     13,                 1.4832,                 1.2451,                 1.8029,                0.70613,                0.68141,                0.61236,                0.26794,                 2.0299,                 1.3984,                 2.5795,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.4665,                 1.2181,                 1.7942,                0.71574,                0.71184,                0.63367,                0.29405,                 1.9394,                 1.3755,                 2.4374,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.4553,                 1.1945,                 1.7813,                0.68996,                0.71466,                0.62387,                0.27799,                 1.9828,                 1.3472,                 2.5288,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.4482,                 1.1933,                 1.7765,                  0.672,                0.69073,                0.62194,                0.28806,                 1.9331,                 1.3674,                 2.4006,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.4415,                 1.1716,                 1.7636,                0.71219,                0.70607,                0.65449,                0.30247,                 1.9409,                 1.3411,                 2.4477,              0.0008515,              0.0008515,              0.0008515
                     18,                   1.43,                 1.1592,                 1.7604,                0.70332,                  0.705,                0.64093,                0.29319,                 1.9663,                 1.3557,                 2.4935,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.4293,                 1.1698,                 1.7509,                0.72253,                0.68832,                0.64585,                0.29912,                 1.9504,                 1.3027,                 2.4674,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.4194,                 1.1486,                 1.7491,                0.70021,                0.70852,                0.64961,                0.30063,                 1.9591,                 1.3106,                 2.4952,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.4032,                 1.1242,                   1.73,                0.70474,                0.71115,                0.62532,                 0.2931,                 1.9741,                 1.3076,                 2.4896,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.4024,                 1.1347,                 1.7359,                0.71623,                 0.7252,                0.64746,                0.29056,                  1.981,                 1.3125,                 2.5246,               0.000802,               0.000802,               0.000802
